"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"1",2,"USES",44203,45857,1.654
"2",4,"USES",86924,89731,2.807
"3",6,"USES",2348,22083,19.735
"4",8,"USES",2431,7403,4.972
"5",10,"USES",25442,56720,31.278
"6",12,"USES",153275,157776,4.501
"7",14,"USES",29678,31230,1.552
"8",16,"USES",34500,36708,2.208
"9",18,"USES",15608,17365,1.757
"10",21,"USES",122583,124549,1.966
"11",23,"USES",90413,91761,1.348
"12",25,"USES",58295,60765,2.47
"13",27,"USES",187345,189025,1.68
"14",29,"USES",11050,12508,1.458
"15",32,"USES",327649,329522,1.873
"16",34,"USES",535231,536628,1.397
"17",36,"USES",84341,85705,1.364
"18",38,"USES",30031,31872,1.841
"19",40,"USES",72037,73699,1.662
"20",42,"USES",98969,101346,2.377
"21",45,"USES",59809,62353,2.544
"22",47,"USES",117482,119160,1.678
"23",49,"USES",196895,198353,1.458
"24",51,"USES",2981,5558,2.577
"25",53,"USES",80233,81881,1.648
"26",55,"USES",217172,219041,1.869
"27",57,"USES",73463,75282,1.819
"28",59,"USES",51191,52921,1.73
"29",61,"USES",127415,130026,2.611
"30",63,"USES",230644,231990,1.346
"31",65,"USES",97347,99889,2.542
"32",67,"USES",25164,26469,1.305
"33",69,"USES",20882,22242,1.36
"34",73,"USES",148501,149858,1.357
"35",75,"USES",52408,54358,1.95
"36",79,"USES",125292,127236,1.944
"37",81,"USES",5876,7684,1.808
"38",84,"USES",1907285,1908490,1.205
"39",87,"USES",102778,104350,1.572
"40",91,"USES",81645,86390,4.745
"41",94,"USES",275498,279057,3.559
"42",96,"USES",313379,315161,1.782
"43",98,"USES",254203,255806,1.603
"44",100,"USES",20723,46232,25.509
"45",102,"USES",72223,74674,2.451
"46",105,"USES",16942,21378,4.436
"47",108,"USES",24553,30118,5.565
"48",110,"USES",6161,8130,1.969
"49",112,"USES",71637,74116,2.479
"50",114,"USES",8410,10745,2.335
"51",116,"USES",5954,8333,2.379
"52",118,"USES",39066,41612,2.546
"53",120,"USES",65986,68503,2.517
"54",122,"USES",15160,17606,2.446
"55",126,"USES",83820,85965,2.145
"56",128,"USES",46996,49224,2.228
"57",130,"USES",66701,69409,2.708
